# Program:featureCounts v1.6.0; Command:"/home/classadmin/mat/software/subread-1.6.0-Linux-x86_64/bin/featureCounts" "-a" "/home/classadmin/mat/referenceGenomes/S_cerevisiae//Saccharomyces_cerevisiae.R64-1-1.81.gtf" "-o" "featCounts_genes.txt" "/home/classadmin/mat/precomputed/results_alignment/SNF2_1_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/SNF2_2_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/SNF2_3_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/SNF2_4_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/SNF2_5_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_1_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_2_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_3_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_4_Aligned.sortedByCoord.out.bam" "/home/classadmin/mat/precomputed/results_alignment/WT_5_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/classadmin/mat/precomputed/results_alignment/SNF2_1_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/SNF2_2_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/SNF2_3_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/SNF2_4_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/SNF2_5_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_1_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_2_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_3_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_4_Aligned.sortedByCoord.out.bam	/home/classadmin/mat/precomputed/results_alignment/WT_5_Aligned.sortedByCoord.out.bam
YDR408C	IV	1288215	1288859	-	645	1554	1455	1327	1590	1298	1286	1179	961	1842	1196
YDR409W	IV	1289406	1292120	+	2715	675	554	514	616	471	312	494	332	569	454
YDR410C	IV	1292372	1293091	-	720	608	372	400	604	351	158	370	331	407	307
YDR411C	IV	1293369	1294394	-	1026	1052	879	811	1013	831	499	684	616	1011	659
YDR412W	IV	1294693	1295400	+	708	51	40	47	75	26	29	96	54	56	102
YDR413C	IV	1294836	1295411	-	576	2	0	0	1	0	0	0	2	5	3
YDR414C	IV	1295598	1296686	-	1089	435	296	321	376	235	151	309	274	326	312
YDR415C	IV	1297037	1298161	-	1125	567	537	433	675	393	262	386	384	507	375
YDR416W	IV	1298432	1301011	+	2580	498	380	399	531	311	190	381	295	387	308
YDR417C	IV	1301555	1301926	-	372	6	5	8	6	7	1	9	9	11	12
YDR418W	IV	1301616	1302113	+	498	2293	1929	2119	2531	1757	1150	2180	1638	2655	2039
YDR419W	IV	1303174	1305072	+	1899	347	296	302	359	218	148	268	201	279	221
tS(AGA)D3	IV	1305630	1305712	+	83	2	0	0	0	0	0	0	1	0	0
YDR420W	IV	1306267	1311675	+	5409	1243	823	749	1236	622	503	822	539	785	810
YDR421W	IV	1312040	1314892	+	2853	827	700	775	952	554	312	380	352	604	324
YDR422C	IV	1315326	1317773	-	2448	681	589	532	692	408	343	561	383	632	526
YDR423C	IV	1318046	1319275	-	1230	872	855	739	944	655	350	437	437	658	437
YDR424C	IV;IV;IV	1319387;1319698;1319817	1319617;1319720;1319841	-;-;-	279	731	627	539	905	610	320	376	321	596	408
YDR425W	IV	1320064	1321941	+	1878	466	297	259	417	226	170	285	237	380	231
YDR426C	IV	1321629	1322006	-	378	9	1	2	2	0	0	0	1	0	1
YDR427W	IV	1322205	1323386	+	1182	2003	1312	1308	1962	1123	622	1299	1237	1673	1203
YDR428C	IV	1323454	1324239	-	786	363	236	238	286	257	143	326	269	393	346
YDR429C	IV	1324477	1325301	-	825	4084	3324	3696	4613	2704	2341	3743	2791	4028	4032
YDR430C	IV	1325501	1328470	-	2970	980	809	799	1053	591	575	792	794	1016	776
YDR431W	IV	1328390	1328701	+	312	3	2	0	6	0	0	1	3	3	2
YDR432W	IV	1328783	1330027	+	1245	4130	3134	3183	3845	2256	2229	2632	2282	3520	2647
YDR433W	IV	1329600	1330040	+	441	33	13	28	23	16	10	27	23	19	17
YDR434W	IV	1331237	1332841	+	1605	1254	989	1000	1307	720	500	761	660	978	734
YDR435C	IV	1332983	1333969	-	987	1088	954	963	1111	721	535	600	558	1090	530
YDR436W	IV	1334821	1336953	+	2133	1475	1266	1145	1498	861	597	642	588	938	570
YDR437W	IV	1337352	1337774	+	423	82	81	63	81	53	55	84	51	82	75
YDR438W	IV	1338274	1339386	+	1113	424	305	297	357	261	153	273	200	320	258
YDR439W	IV	1339676	1340719	+	1044	266	236	228	285	200	146	251	175	275	266
YDR440W	IV	1342493	1344241	+	1749	507	318	373	455	311	225	413	294	408	421
YDR441C	IV	1344517	1345062	-	546	462	288	310	436	277	200	474	363	505	449
YDR442W	IV	1345647	1346039	+	393	13	10	8	11	7	0	5	4	8	7
YDR443C	IV	1345676	1349938	-	4263	554	553	466	554	309	270	345	293	428	320
YDR444W	IV	1350290	1352353	+	2064	488	386	355	531	261	169	450	259	346	462
YDR445C	IV	1352182	1352589	-	408	0	0	1	0	0	0	1	0	1	1
tK(CUU)D2	IV	1352466	1352538	-	73	0	0	0	0	0	0	0	0	0	0
YDR446W	IV	1353725	1354633	+	909	7	1	1	8	4	2	8	4	6	5
YDR447C	IV;IV	1354829;1355551	1355236;1355553	-;-	411	5329	4277	4503	5749	3739	2845	5736	4101	6512	5461
YDR448W	IV	1356065	1357369	+	1305	320	344	335	437	211	178	196	152	234	261
YDR449C	IV	1357580	1358902	-	1323	151	87	119	135	107	79	300	142	191	360
YDR450W	IV;IV	1359923;1360405	1359969;1360798	+;+	441	11196	9230	9178	11620	8288	7314	11292	8072	13689	11855
YDR451C	IV	1361120	1362181	-	1062	331	286	272	361	281	263	268	290	374	325
YDR452W	IV	1362878	1364902	+	2025	3918	3298	3581	4401	2455	1204	1590	1377	2126	1542
YDR453C	IV	1365072	1365662	-	591	348	242	266	342	221	185	204	312	492	161
YDR454C	IV	1366264	1366827	-	564	2138	1682	1795	2200	1514	1029	1884	1369	2147	1787
YDR455C	IV	1367373	1367681	-	309	2	3	0	1	0	0	0	1	0	2
YDR456W	IV	1367485	1369386	+	1902	1656	1283	1343	1869	1071	502	805	666	898	738
YDR457W	IV	1369790	1379596	+	9807	2309	2088	2178	2741	1633	1276	1653	1295	2096	1629
YDR458C	IV	1380055	1382046	-	1992	858	603	725	909	445	249	538	395	562	473
YDR459C	IV	1382319	1383443	-	1125	669	490	442	591	387	183	351	264	413	317
YDR460W	IV	1383811	1384776	+	966	796	672	612	828	473	265	375	327	452	430
YDR461W	IV	1385176	1385286	+	111	468	423	346	472	362	427	859	676	816	844
YDR461C-A	IV	1385524	1385766	-	243	471	359	297	528	393	173	157	182	249	148
YDR462W	IV	1386073	1386516	+	444	527	422	404	520	377	274	411	386	568	358
YDR463W	IV	1386816	1388375	+	1560	1009	843	837	1103	687	404	579	426	775	524
YDR464W	IV	1388872	1393179	+	4308	632	550	526	699	327	238	530	323	433	530
YDR464C-A	IV	1392492	1392680	-	189	0	0	0	0	0	0	0	0	0	0
YDR465C	IV	1393336	1394574	-	1239	1067	864	888	1218	666	570	1216	736	1089	1359
YDR466W	IV	1395121	1397817	+	2697	962	790	709	1042	567	363	686	441	750	627
YDR467C	IV	1397583	1397909	-	327	77	45	43	75	35	20	47	44	53	34
YDR468C	IV	1398026	1398700	-	675	851	695	695	835	573	371	544	468	721	498
YDR469W	IV	1399015	1399542	+	528	557	541	429	658	437	233	352	327	498	382
YDR470C	IV	1399706	1401214	-	1509	585	420	427	585	372	285	452	344	492	402
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	6687	6180	5905	7024	5227	4127	6377	4631	7696	7125
snR13	IV	1402919	1403042	+	124	13	14	14	15	14	5	16	23	23	21
YDR472W	IV	1403322	1404173	+	852	575	400	424	504	431	236	455	375	441	443
YDR473C	IV	1404445	1405854	-	1410	442	413	498	612	304	169	277	184	355	258
YDR475C	IV	1407464	1410094	-	2631	1536	1267	1231	1590	912	722	834	640	1178	780
YDR476C	IV	1410453	1411127	-	675	2745	2288	2112	2437	2062	1316	1253	1122	2155	1531
YDR477W	IV	1412373	1414274	+	1902	1765	1202	1170	1673	946	903	1207	1104	1628	1113
YDR478W	IV	1414575	1415171	+	597	97	85	77	107	76	47	82	69	98	88
YDR479C	IV	1415210	1416874	-	1665	1813	1309	1375	1745	1067	629	830	778	1134	727
YDR480W	IV	1417399	1418370	+	972	537	431	387	586	358	168	247	234	312	225
YDR481C	IV	1418550	1420250	-	1701	2090	1873	1782	2112	1534	2005	2374	2018	3441	2362
YDR482C	IV	1420431	1420838	-	408	786	743	672	874	666	601	490	451	768	564
YDR483W	IV	1421157	1422485	+	1329	3879	3132	3200	4047	2568	1798	2897	2285	3978	2510
YDR484W	IV	1422763	1424688	+	1926	378	294	264	436	249	142	292	233	283	251
YDR485C	IV	1424820	1427207	-	2388	976	676	808	1071	608	332	603	437	661	611
YDR486C	IV	1427431	1428120	-	690	976	894	772	1047	716	424	524	537	840	587
YDR487C	IV	1428354	1428980	-	627	3408	2880	2720	3028	2448	1734	1865	1662	2866	2154
YDR488C	IV	1429188	1430789	-	1602	358	292	271	322	201	255	249	205	333	264
YDR489W	IV	1431012	1431896	+	885	451	319	287	377	276	141	270	233	307	211
YDR490C	IV	1431968	1434268	-	2301	1016	918	939	1203	678	443	551	524	710	559
YDR491C	IV	1434500	1434991	-	492	78	33	33	61	24	19	83	54	52	65
YDR492W	IV	1434924	1435874	+	951	999	629	470	992	504	440	1291	787	929	1206
YDR493W	IV	1436217	1436588	+	372	217	164	147	214	163	117	165	137	203	161
YDR494W	IV	1436930	1438015	+	1086	890	606	605	960	509	320	603	567	715	595
YDR495C	IV	1438115	1441150	-	3036	452	267	332	443	231	129	327	264	348	285
YDR496C	IV	1441433	1443403	-	1971	525	339	377	656	246	290	1064	551	665	1160
YDR497C	IV	1443713	1445467	-	1755	8444	6433	6080	8412	4742	5139	4688	4161	7574	5184
YDR498C	IV	1445843	1446994	-	1152	886	608	619	887	596	277	498	355	548	455
YDR499W	IV	1447830	1450073	+	2244	478	363	420	589	307	165	266	211	310	270
YDR500C	IV;IV	1450198;1450847	1450457;1450853	-;-	267	8713	6941	7264	8440	6942	5177	7837	5709	9312	9026
YDR501W	IV	1451353	1452918	+	1566	106	81	92	104	61	66	98	61	109	80
YDR502C	IV	1453310	1454464	-	1155	2279	1797	1812	2168	1272	2005	1618	1396	2394	1855
YDR503C	IV	1455042	1455866	-	825	442	376	301	403	301	137	193	191	297	177
YDR504C	IV	1456311	1456694	-	384	128	18	68	81	50	15	52	66	57	47
YDR505C	IV	1456695	1459220	-	2526	1166	741	821	1044	541	466	675	622	896	513
YDR506C	IV	1459728	1461554	-	1827	517	457	372	519	344	173	202	209	273	174
tL(CAA)D	IV;IV	1461715;1461792	1461758;1461829	-;-	82	1	0	0	0	0	0	0	0	0	0
YDR507C	IV	1462358	1465786	-	3429	1209	885	1010	1346	812	320	547	413	650	612
YDR508C	IV	1466453	1468444	-	1992	3114	1970	2033	3168	1538	1334	2495	1648	1882	2564
YDR509W	IV	1468226	1468573	+	348	1	1	1	0	0	1	2	4	1	1
YDR510W	IV	1469400	1469705	+	306	2221	1968	2116	2564	1626	971	1168	1082	1603	1159
YDR510C-A	IV	1469695	1469811	-	117	217	139	125	273	118	53	105	122	133	83
YDR511W	IV	1470017	1470418	+	402	423	316	281	440	300	160	209	209	366	185
YDR512C	IV	1470500	1471063	-	564	552	511	428	638	445	161	254	225	341	208
YDR513W	IV	1471017	1471448	+	432	1807	1280	1277	1737	1177	722	1111	1161	1679	979
YDR514C	IV	1471548	1472999	-	1452	375	317	371	420	291	174	373	244	295	431
YDR515W	IV	1473429	1474772	+	1344	267	184	178	271	112	133	249	220	249	245
YDR516C	IV	1474974	1476476	-	1503	9599	7776	7093	9209	5818	8364	7034	9180	13871	6270
YDR517W	IV	1477239	1478357	+	1119	4029	3719	3292	3978	2577	1673	1687	1674	2670	1568
YDR518W	IV	1478608	1480161	+	1554	1309	1056	974	1294	847	409	608	459	766	643
YDR519W	IV	1480425	1480832	+	408	875	743	755	940	606	381	503	466	741	515
YDR520C	IV	1481085	1483403	-	2319	327	260	264	324	220	97	241	168	239	219
YDR521W	IV	1483141	1483476	+	336	4	0	0	2	2	0	0	1	0	3
YDR522C	IV	1483795	1485303	-	1509	105	37	47	83	41	20	70	41	59	64
YDR523C	IV	1485566	1487038	-	1473	53	37	38	47	38	17	121	39	32	118
YDR524C	IV	1487542	1488990	-	1449	654	486	384	643	370	252	566	400	566	481
YDR524W-C	IV	1489403	1489492	+	90	5792	1718	4000	6125	1906	727	3743	3256	3593	3051
YDR524C-B	IV	1489598	1489798	-	201	41538	30448	29545	42746	31761	21925	26878	21672	37876	34138
YDR524C-A	IV	1489871	1489990	-	120	8	9	6	6	4	0	3	3	0	1
YDR525W	IV	1489905	1490234	+	330	12	4	4	10	5	3	3	2	4	3
YDR525W-A	IV	1490596	1490835	+	240	790	523	478	895	498	130	231	248	331	198
YDR526C	IV	1491075	1491545	-	471	3	2	4	8	3	0	7	2	0	2
YDR527W	IV	1491094	1492413	+	1320	681	601	611	780	564	273	510	354	569	563
snR84	IV	1492477	1493026	-	550	161	105	78	141	109	53	138	95	125	123
YDR528W	IV	1494586	1495857	+	1272	266	242	242	291	236	71	98	77	136	117
YDR529C	IV	1496165	1496548	-	384	1248	932	842	1316	860	513	645	723	1036	606
YDR530C	IV	1496791	1497768	-	978	1441	1141	1129	1301	955	641	682	707	1033	695
YDR531W	IV	1498232	1499335	+	1104	1118	772	763	1142	645	429	723	503	878	619
YDR532C	IV	1499396	1500553	-	1158	368	213	255	437	211	92	211	160	240	176
YDR533C	IV	1501447	1502160	-	714	296	236	229	321	197	152	244	218	341	195
YDR534C	IV	1503314	1504900	-	1587	984	815	913	1119	790	603	673	547	997	614
YDR535C	IV;IV	1506606;1507315	1507058;1507362	-;-	501	55	37	29	42	22	7	15	19	18	17
YDR536W	IV	1508005	1509714	+	1710	295	174	174	240	156	60	112	95	113	99
YDR537C	IV	1510856	1511461	-	606	7	4	4	4	3	1	5	6	1	4
YDR538W	IV	1510902	1511630	+	729	95	74	50	104	55	29	65	53	62	59
YDR539W	IV	1512094	1513605	+	1512	648	503	531	702	392	403	481	416	644	433
YDR540C	IV	1517136	1517675	-	540	108	64	57	121	47	41	63	64	82	40
YDR541C	IV	1519664	1520698	-	1035	557	461	474	556	391	188	271	262	354	244
YDR542W	IV	1523249	1523611	+	363	0	2	1	0	2	1	0	0	1	0
YDR543C	IV	1524634	1524933	-	300	0	0	0	0	0	0	0	0	0	0
YDR544C	IV	1525095	1525523	-	429	0	0	0	0	0	0	1	0	0	0
YDR545W	IV	1526321	1531711	+	5391	0	0	0	0	0	0	0	0	0	0
YDR545C-A	IV	1530863	1531342	-	480	0	0	0	0	0	0	0	0	0	0
YOL166W-A	XV	585	740	+	156	0	0	0	0	0	0	0	0	0	0
YOL166C	XV	1000	1338	-	339	1	0	3	2	0	0	0	0	0	0
YOL165C	XV	1647	2078	-	432	26	14	18	30	10	0	3	4	5	3
YOL164W-A	XV	4130	4312	+	183	95	86	66	105	75	24	24	14	28	20
YOL164W	XV	6175	8115	+	1941	796	657	602	747	482	336	450	355	562	456
YOL163W	XV	9597	10106	+	510	161	115	108	105	93	22	25	35	58	32
YOL162W	XV	10119	10766	+	648	145	96	89	132	100	28	24	34	39	25
YOL161C	XV	11549	11911	-	363	0	0	1	1	0	0	1	2	1	1
YOL160W	XV	14313	14654	+	342	27	18	17	21	9	3	8	11	10	8
YOL159C-A	XV	15233	15505	-	273	84	76	60	109	57	43	65	58	95	60
YOL159C	XV	17281	17796	-	516	355	257	297	359	268	160	229	238	364	192
YOL158C	XV	19491	21311	-	1821	1107	1112	1062	1212	802	2249	2155	1762	3907	1880
YOL157C	XV	22525	24294	-	1770	115	118	95	148	80	33	52	70	84	52
YOL156W	XV	25273	26976	+	1704	119	107	98	115	66	42	44	38	49	33
YOL155W-A	XV	27084	27218	+	135	0	0	0	0	0	0	0	0	0	0
YOL155C	XV	28703	31606	-	2904	858	862	674	918	519	2507	2017	1910	3130	1837
YOL154W	XV	34658	35407	+	750	458	438	355	499	325	111	171	142	214	174
YOL153C	XV	36822	38567	-	1746	628	512	474	643	413	519	527	513	918	407
YOL152W	XV	40748	42610	+	1863	130	81	72	123	78	147	181	173	300	147
YOL151W	XV	43694	44722	+	1029	465	350	354	484	261	229	339	296	382	289
YOL150C	XV	44473	44784	-	312	1	0	3	2	0	0	1	1	1	1
YOL149W	XV	44938	45633	+	696	701	499	401	651	452	250	534	438	552	509
YOL148C	XV	45760	47574	-	1815	803	566	607	817	457	299	472	346	560	406
YOL147C	XV	47933	48643	-	711	591	436	406	548	383	292	362	300	514	361
YOL146W	XV	48864	49448	+	585	294	220	232	277	211	82	148	103	219	146
YOL145C	XV	49555	52788	-	3234	1765	1321	1602	2200	945	606	1474	1043	1407	1274
YOL144W	XV	53098	54552	+	1455	347	224	277	399	177	149	392	242	325	435
YOL143C	XV	54595	55104	-	510	2726	2345	2190	2783	2045	2631	2931	2493	4376	2971
YOL142W	XV	55558	56280	+	723	825	532	458	737	413	237	506	378	414	534
YOL141W	XV	56452	58539	+	2088	25	16	15	27	8	15	51	13	15	51
YOL140W	XV	58759	60030	+	1272	250	210	213	216	155	109	188	125	192	204
YOL139C	XV	60383	61024	-	642	4341	3532	3337	4355	2889	2298	3768	2809	4552	4036
YOL138C	XV	61325	65350	-	4026	874	717	702	877	512	356	484	369	544	481
YOL137W	XV	65621	67114	+	1494	414	334	347	439	317	165	335	205	337	315
YOL136C	XV	67561	68754	-	1194	669	397	399	651	305	561	1386	1051	1174	1153
YOL135C	XV	69376	70044	-	669	426	321	257	481	285	133	253	213	290	232
YOL134C	XV	70156	70545	-	390	2	3	2	1	3	3	8	4	8	4
YOL133W	XV	70325	70690	+	366	436	308	272	394	303	121	207	178	276	167
YOL132W	XV	71300	72715	+	1416	69	47	58	100	47	24	32	34	44	49
YOL131W	XV	73031	73357	+	327	20	16	11	11	8	15	19	14	21	17
YOL130W	XV	74400	76979	+	2580	1205	866	932	1191	575	1110	1600	1179	1823	1514
YOL129W	XV	77560	78114	+	555	2847	2240	2323	2877	2054	1120	1429	1377	2307	1147
YOL128C	XV	78352	79479	-	1128	71	71	51	85	51	28	84	50	76	89
YOL127W	XV;XV	80348;80775	80360;81190	+;+	429	16112	13303	12712	17133	11911	8603	15854	11530	19093	15960
YOL126C	XV	81787	82920	-	1134	4490	3080	2536	3566	2536	1743	1774	1603	2941	1592
YOL125W	XV	83834	85264	+	1431	422	341	355	414	270	226	429	230	440	458
YOL124C	XV	85456	86757	-	1302	253	190	191	312	145	141	487	246	282	535
YOL123W	XV	87844	89448	+	1605	2549	2205	2375	2796	1880	1768	3280	2365	2918	3882
YOL122C	XV	89692	91419	-	1728	1225	1004	959	1288	766	541	727	634	1003	789
YOL121C	XV;XV	92026;92831	92440;92850	-;-	435	7095	6265	6178	6916	5369	5450	6746	4735	8299	7325
YOL120C	XV;XV	93395;94291	93843;94402	-;-	561	17983	14909	14364	16668	13310	9648	16476	12145	19986	17818
YOL119C	XV	94856	96361	-	1506	886	700	643	941	573	348	354	450	757	304
YOL118C	XV	96608	96916	-	309	59	50	36	69	31	38	41	68	99	31
YOL117W	XV	97551	99488	+	1938	348	282	297	358	209	123	227	189	266	186
YOL116W	XV	99809	100957	+	1149	651	587	589	675	461	265	430	346	534	372
YOL115W	XV	101475	103229	+	1755	635	466	539	686	392	270	621	400	523	662
YOL114C	XV	103317	103925	-	609	255	195	164	315	149	38	90	62	88	74
YOL113W	XV	104326	106293	+	1968	1587	1231	1277	1710	952	632	906	878	1351	873
YOL112W	XV	106710	108188	+	1479	913	731	783	1106	644	313	443	411	576	443
YOL111C	XV	108258	108896	-	639	1144	981	986	1261	823	494	694	626	956	667
YOL110W	XV	109176	109889	+	714	1532	1464	1689	1595	1301	380	284	313	520	287
YOL109W	XV	110297	110638	+	342	1065	1075	1419	1103	1081	2917	5529	4311	8257	4426
tG(UCC)O	XV	110962	111033	-	72	0	0	0	0	0	0	0	0	0	0
YOL108C	XV	111431	111886	-	456	633	447	442	714	341	146	222	241	390	265
YOL107W	XV	112102	113130	+	1029	432	260	259	453	232	107	164	156	273	157
YOL106W	XV	113226	113579	+	354	59	25	30	62	29	22	25	22	23	20
tT(AGU)O1	XV	113802	113874	+	73	0	0	0	0	0	0	0	0	0	0
YOL105C	XV	114138	115808	-	1671	1622	1120	1003	1538	824	383	768	528	655	672
YOL104C	XV	116396	117454	-	1059	17	13	9	14	12	37	74	59	85	58
YOL103W-B	XV;XV	118000;119306	119304;123268	+;+	5268	9	4	6	7	4	5	20	20	27	14
YOL103W-A	XV	118000	119322	+	1323	0	0	0	0	0	0	0	0	0	0
YOL103W	XV	124001	125830	+	1830	1314	1011	1195	1440	743	548	946	676	1046	880
YOL102C	XV	125997	126689	-	693	420	309	274	452	245	131	260	206	288	270
YOL101C	XV	126982	127920	-	939	618	277	299	501	261	215	770	548	431	634
YOL100W	XV	129237	132482	+	3246	649	493	436	656	304	276	380	341	495	380
YOL099C	XV	132017	132508	-	492	9	1	6	8	4	1	11	7	1	8
YOL098C	XV	132725	135838	-	3114	1613	1277	1447	1726	922	749	1349	1052	1563	1301
snR58	XV	136088	136183	-	96	23	19	4	17	11	4	11	13	15	16
YOL097W-A	XV	136220	136405	+	186	64	33	41	52	30	14	37	27	36	32
YOL097C	XV	136527	137825	-	1299	2329	2170	1974	2648	1731	1682	2516	1736	2825	2654
YOL096C	XV	138107	139045	-	939	653	449	485	659	443	329	426	393	538	389
YOL095C	XV	139227	141347	-	2121	241	194	205	279	174	74	154	153	162	134
YOL094C	XV	141584	142555	-	972	405	262	308	382	263	162	277	220	365	323
YOL093W	XV	142815	143696	+	882	571	462	447	574	381	250	540	343	500	647
YOL092W	XV	144204	145130	+	927	1384	980	912	1341	812	626	1041	777	1086	1088
YOL091W	XV	145334	147163	+	1830	88	33	37	67	40	13	44	18	21	47
YOL090W	XV	147382	150276	+	2895	990	756	883	1135	616	327	520	415	612	506
YOL089C	XV	150398	153490	-	3093	487	331	402	483	273	183	387	297	393	313
YOL088C	XV	153912	154745	-	834	963	693	710	975	528	303	458	440	617	503
YOL087C	XV	155287	158637	-	3351	2869	2190	2222	3012	1648	1299	1647	1415	2141	1527
YOL086W-A	XV	159173	159445	+	273	648	535	409	694	423	181	198	177	261	215
YOL086C	XV	159548	160594	-	1047	143730	145202	156504	155772	109554	116851	113651	99889	178864	125787
YOL085W-A	XV	161579	161791	+	213	14	21	11	18	9	4	10	4	22	5
YOL085C	XV	161673	162014	-	342	24	33	7	21	14	6	12	14	17	15
YOL084W	XV	162356	165331	+	2976	265	201	199	212	158	69	57	47	116	52
YOL083W	XV	165714	166952	+	1239	452	337	343	477	247	119	132	147	213	100
YOL083C-A	XV	166461	166601	-	141	0	0	0	0	0	0	0	0	0	0
YOL082W	XV	168727	169974	+	1248	2000	1569	1603	2063	1371	725	680	817	1327	650
YOL081W	XV	171070	180309	+	9240	1896	1630	1637	2193	1189	860	1115	985	1584	1165
YOL080C	XV	180558	181427	-	870	67	40	32	64	38	50	190	94	110	159
YOL079W	XV	181057	181455	+	399	0	0	0	0	0	0	0	0	0	0
YOL078W	XV	181682	185212	+	3531	327	316	338	392	248	140	294	167	295	275
YOL077W-A	XV	185438	185644	+	207	518	421	327	684	383	201	288	280	473	278
YOL077C	XV	185848	186723	-	876	741	523	518	796	399	471	1187	671	967	1241
YOL076W	XV	187024	189414	+	2391	288	212	249	316	176	133	387	256	284	370
YOL075C	XV	189658	193542	-	3885	435	404	366	463	286	192	323	232	344	317
YOL073C	XV	193832	194800	-	969	999	879	797	1123	738	415	539	446	763	508
YOL072W	XV	194970	196337	+	1368	540	400	384	451	306	237	339	246	401	332
YOL071W	XV	196507	196995	+	489	430	309	299	456	280	206	271	301	437	260
YOL070C	XV	197220	198725	-	1506	1559	1244	1170	1694	996	529	693	575	858	724
YOL069W	XV	198942	200297	+	1356	410	307	321	450	235	104	200	180	194	211
YOL068C	XV	200368	201879	-	1512	1210	900	944	1302	816	509	962	785	995	934
YOL067C	XV	201985	202518	-	534	263	254	271	252	182	200	257	161	270	256
YOL066C	XV	202696	204471	-	1776	588	441	469	512	399	267	393	285	477	431
YOL065C	XV	204731	205885	-	1155	545	399	413	558	349	241	286	302	449	310
YOL064C	XV	206103	207176	-	1074	1667	1438	1334	1742	1229	898	891	884	1534	894
YOL063C	XV	207392	210265	-	2874	719	599	605	778	488	364	443	374	610	421
YOL062C	XV	210520	211995	-	1476	2190	1707	1586	2025	1310	1176	1328	1176	1949	1282
YOL061W	XV	212244	213734	+	1491	1403	1191	1096	1437	868	1087	1504	1130	1654	1674
YOL060C	XV	214017	216137	-	2121	1839	1440	1380	1858	1073	1070	998	1018	1511	980
YOL059W	XV	217126	218448	+	1323	3934	3400	3508	3584	2906	2255	2588	2077	3837	2495
YOL058W	XV	219211	220473	+	1263	1060	982	979	1044	811	665	427	424	860	451
YOL057W	XV	220767	222902	+	2136	1535	1122	1172	1648	851	543	965	769	1117	825
YOL056W	XV	223268	224179	+	912	562	422	460	576	321	314	530	399	605	538
YOL055C	XV	224420	226075	-	1656	527	390	384	548	372	194	296	255	357	286
tG(GCC)O1	XV	226611	226681	-	71	0	0	0	0	1	0	1	0	0	0
tN(GUU)O1	XV	228331	228404	+	74	0	0	0	0	0	0	0	0	0	0
YOL054W	XV	228614	229834	+	1221	599	503	581	653	394	237	374	230	368	381
YOL053W	XV	230085	231272	+	1188	879	652	517	883	490	301	403	367	579	420
YOL052C-A	XV	231570	231755	-	186	102	90	68	116	73	296	209	350	608	200
YOL052C	XV	232446	233636	-	1191	686	478	418	562	400	362	673	429	645	734
snR81	XV	234346	234546	+	201	38	36	14	35	49	14	35	17	25	36
YOL051W	XV	234940	238185	+	3246	1686	1237	1205	1709	862	628	1129	704	1089	1073
YOL050C	XV	237882	238202	-	321	3	4	15	7	3	2	5	3	2	1
YOL049W	XV	238619	240094	+	1476	1953	1560	1565	2086	1188	803	1252	1071	1511	1216
YOL048C	XV;XV	240204;241026	240947;241310	-;-	1029	1281	1068	953	1366	880	341	436	523	784	369
YOL047C	XV;XV	241614;242505	242441;242747	-;-	1071	395	307	293	418	273	97	96	130	202	94
YOL046C	XV	243466	244140	-	675	3	0	0	2	1	0	1	2	1	1
YOL045W	XV	243497	246802	+	3306	1158	813	855	1289	567	434	771	581	814	704
YOL044W	XV	247150	248301	+	1152	360	241	212	361	174	100	218	178	255	162
YOL043C	XV	248392	249534	-	1143	603	482	466	687	367	250	315	276	438	305
YOL042W	XV	249825	250916	+	1092	475	332	286	424	249	159	348	243	408	291
YOL041C	XV	251267	252646	-	1380	702	529	668	800	401	277	936	523	652	969
YOL040C	XV	253149	253577	-	429	12221	10200	10719	13223	8680	6272	11883	8963	14125	11835
YOL039W	XV	254297	254617	+	321	10287	8393	8220	10487	7424	4401	8983	6669	10438	9974
YOL038C-A	XV	254926	255021	-	96	41	22	33	51	45	9	36	28	36	30
YOL038W	XV	255337	256101	+	765	4672	3855	3855	4751	3515	2283	2521	2499	3891	2711
